posicion,etiqueta
01010010101,30557690101831001395
01010010102,30557690101831001379
01010010201,30557690101224001317
01010010202,30557690101224001290
01010010301,30557690101426001281
01010010302,30557690101426001237
01010010401,30557690100112001365
01010010402,30557690100112001028
01010010501,30557690101224001222
01010010502,30557690101224001203
01010010601,30557690101527001268
01010010602,30557690101527001053
01010010701,30557690100516001319
01010010702,30557690100516001248
01010010801,30557690101729001499
01010010802,30557690101729001303
01010020101,30557690101831001527
01010020102,30557690101831001441
01010020201,30557690101932001525
01010020202,30557690101932001387
01010020301,30557690100011001411
01010020302,30557690100011001315
01010020401,30557690101932001316
01010020402,30557690101932001254
01010020501,30557690101628001245
01010020502,30557690101628001206
01010020601,30557690101628001333
01010020602,30557690101628001257
01010020701,30557690100415001455
01010020702,30557690100415001324
01010020801,30557690101022001510
01010020802,30557690101022001389
01010030101,30557690100112004078
01010030102,30557690101527001625
01010030201,30557690100213001576
01010030202,30557690100213001488
01010030301,30557690100617001512
01010030302,30557690100617001394
01010030401,30557690100718001443
01010030402,30557690100718001342
01010030501,30557690100314001447
01010030502,30557690100314001289
01010030601,30557690100516001452
01010030602,30557690100516001346
01010030701,30557690101224001585
01010030702,30557690101224001405
01010030801,30557690100819001627
01010030802,30557690100819001554
01010040101,30557690101224001766
01010040102,30557690101325001716
01010040201,30557690101426003310
01010040202,30557690101123001061
01010040301,30557690101729002037
01010040302,30557690100718001581
01010040401,30557690101426001580
01010040402,30557690101426001413
01010040501,30557690101527001460
01010040502,30557690101527001356
01010040601,30557690101628001620
01010040602,30557690101628001426
01010040701,30557690101729002700
01010040702,30557690100011001584
01010040801,30557690101831001694
01010040802,30557690101831001636
01010050101,30557690100112003256
01010050102,30557690101527003470
01010050201,30557690100617003573
01010050202,30557690101123004020
01010050301,30557690101932002662
01010050302,30557690101932001646
01010050401,30557690100011003623
01010050402,30557690100516001595
01010050501,30557690100112001483
01010050502,30557690100112001430
01010050601,30557690101022001662
01010050602,30557690101022001597
01010050701,30557690100213001733
01010050702,30557690100617001673
01010050801,30557690101022002015
01010050802,30557690100718001130
01010060101,30557690101729001882
01010060102,30557690100718004559
01010060201,30557690100213003389
01010060202,30557690101123003588
01010060301,30557690101022001926
01010060302,30557690101729002215
01010060401,30557690101729002102
01010060402,30557690100112001676
01010060501,30557690101123002329
01010060502,30557690100415001609
01010060601,
01010060602,30557690101729001680
01010060701,30557690101628002100
01010060702,30557690100718004234
01010060801,30557690101224004401
01010060802,30557690101325004417
01010070101,30557690100213002439
01010070102,30557690100718002580
01010070201,30557690100213003366
01010070202,30557690100718003918
01010070301,
01010070302,
01010070401,30557690101831002091
01010070402,30557690101628002827
01010070501,30557690101224002276
01010070502,30557690100314001685
01010070601,30557690101628002009
01010070602,30557690101022002155
01010070701,30557690101831002919
01010070702,30557690100921004095
01010070801,30557690101224001815
01010070802,30557690100718002477
01010080101,30557690101426002963
01010080102,30557690101426003572
01010080201,30557690101831001863
01010080202,30557690100112002727
01010080301,30557690101831003894
01010080302,30557690101224004394
01010080401,30557690100516002335
01010080402,30557690101426002913
01010080501,30557690100415003564
01010080502,30557690100617003942
01010080601,30557690100011002813
01010080602,30557690100516004757
01010080701,30557690100112005128
01010080702,30557690100011006072
01010080801,30557690100617001898
01010080802,30557690100112001950
01010090101,30557690101325003292
01010090102,30557690100819003409
01010090201,30557690101527002169
01010090202,30557690100718003291
01010090301,30557690100314002315
01010090302,30557690101022003773
01010090401,30557690101022001840
01010090402,30557690100617000995
01010090501,30557690101022002993
01010090502,30557690100112003739
01010090601,30557690101123002004
01010090602,30557690100819002443
01010090701,30557690100314005291
01010090702,
01010090801,30557690101325003154
01010090802,30557690101628004166
01010100101,30557690101224002061
01010100102,30557690101426000904
01010100201,30557690101426001812
01010100202,30557690100011004304
01010100301,30557690100516002438
01010100302,30557690100415003868
01010100401,30557690101224002126
01010100402,30557690100011003827
01010100501,30557690101325005748
01010100502,
01010100601,30557690100617001826
01010100602,30557690101831001888
01010100701,30557690100617002301
01010100702,30557690100213000900
01010100801,30557690101729002069
01010100802,30557690100921004949
01010110101,30557690101527001929
01010110102,30557690100213002952
01010110201,30557690100112001901
01010110202,30557690100011004729
01010110301,30557690101426001796
01010110302,30557690100011002597
01010110401,30557690101022003315
01010110402,30557690100112004878
01010110501,30557690100819002131
01010110502,30557690101831002350
01010110601,30557690100819002167
01010110602,30557690100617003860
01010110701,30557690101527001885
01010110702,30557690101426002273
01010110801,30557690100213005050
01010110802,30557690100112005171
01010120101,30557690101224002207
01010120102,30557690101426002577
01010120201,30557690100213002495
01010120202,30557690101932002543
01010120301,30557690101628003380
01010120302,30557690100617006006
01010120401,30557690101426001969
01010120402,30557690101325004197
01010120501,30557690101426001994
01010120502,30557690100314004064
01010120601,30557690101527001997
01010120602,30557690101729003381
01010120701,30557690100112001845
01010120702,30557690101123004467
01010120801,30557690101932001779
01010120802,30557690101831003395
01010130101,30557690100213001769
01010130102,30557690101932002667
01010130201,30557690100112001976
01010130202,30557690101123000969
01010130301,30557690101628002472
01010130302,30557690100718002611
01010130401,30557690100011002703
01010130402,30557690100314005544
01010130501,30557690100112002890
01010130502,30557690100415003156
01010130601,30557690101022003604
01010130602,30557690100617004218
01010130701,30557690101123002564
01010130702,30557690100415002893
01010130801,30557690100921002536
01010130802,30557690101729003057
01010140101,30557690100213001725
01010140102,30557690100213002603
01010140201,30557690100819002788
01010140202,30557690100921004311
01010140301,30557690100415003898
01010140302,30557690100415004110
01010140401,30557690101325002578
01010140402,30557690100617002606
01010140501,30557690100213002075
01010140502,30557690101022002978
01010140601,30557690100011003211
01010140602,30557690100921003656
01010140701,30557690100819002784
01010140702,30557690101729003462
01010140801,30557690101325002400
01010140802,30557690100415004243
01010150101,30557690100718002052
01010150102,30557690100112002337
01010150201,30557690101527002910
01010150202,30557690101022001051
01010150301,30557690101325002048
01010150302,30557690100819003126
01010150401,30557690100213003324
01010150402,30557690100415001055
01010150501,30557690100314004603
01010150502,30557690100921005168
01010150601,30557690101831002146
01010150602,30557690101123003240
01010150701,30557690101123002152
01010150702,30557690101527004159
01010150801,30557690101628004651
01010150802,30557690100718005956
01010160101,30557690100617002330
01010160102,30557690101527004383
01010160201,30557690101325005977
01010160202,30557690101426001034
01010160301,30557690100415002355
01010160302,30557690100415002478
01010160401,30557690101831001900
01010160402,30557690100112002853
01010160501,30557690101628003268
01010160502,30557690101123004608
01010160601,30557690100516002224
01010160602,30557690101932002230
01010160701,30557690100819004575
01010160702,30557690100415005011
01010160801,30557690101729002222
01010160802,30557690101932000952
01010170101,30557690100718002327
01010170102,30557690100718002732
01010170201,30557690100213002387
01010170202,30557690101729003412
01010170301,30557690100112002081
01010170302,30557690100213004677
01010170401,30557690101932004143
01010170402,30557690101628004326
01010170501,30557690100011001963
01010170502,30557690100516005138
01010170601,30557690101022002164
01010170602,30557690101426004410
01010170701,30557690100112002869
01010170702,30557690101426003130
01010170801,30557690101426002731
01010170802,30557690101325000868
01010180101,30557690100314005180
01010180102,
01010180201,30557690100213002815
01010180202,30557690100011003004
01010180301,30557690101729002153
01010180302,30557690101831004025
01010180401,30557690101224001978
01010180402,30557690100617002049
01010180501,30557690101729002121
01010180502,30557690100213004286
01010180601,30557690100718002057
01010180602,30557690100415003586
01010180701,30557690100921002679
01010180702,30557690101729004104
01010180801,30557690100718002573
01010180802,30557690100415004602
01010190101,30557690101123003189
01010190102,30557690101123000908
01010190201,30557690101325002780
01010190202,30557690100718003937
01010190301,30557690100314001824
01010190302,30557690100415002522
01010190401,30557690100011003136
01010190402,30557690101022003548
01010190501,30557690101831001830
01010190502,30557690100213002452
01010190601,30557690101831003121
01010190602,30557690101022003662
01010190701,30557690100011003322
01010190702,30557690101831003480
01010190801,30557690100819001877
01010190802,30557690101628003261
01010200101,30557690100314002643
01010200102,30557690100819001060
01010200201,30557690100112002694
01010200202,30557690100718002768
01010200301,30557690100213001730
01010200302,30557690101527002407
01010200401,30557690101224001873
01010200402,30557690100011001974
01010200501,30557690101527002348
01010200502,30557690101932004080
01010200601,30557690101628002138
01010200602,30557690101022000945
01010200701,30557690101932002871
01010200702,30557690100516003203
01010200801,30557690100112002660
01010200802,30557690101224002971
01010210101,30557690101325003812
01010210102,30557690100921001144
01010210201,30557690101628002359
01010210202,30557690100617000917
01010210301,30557690101325003227
01010210302,30557690101022003260
01010210401,30557690100617003448
01010210402,30557690101628003692
01010210501,30557690101022002082
01010210502,30557690101831002766
01010210601,30557690100516003244
01010210602,30557690101325003706
01010210701,30557690101022003287
01010210702,30557690101831003620
01010210801,30557690101527002006
01010210802,30557690100112003646
01010220101,30557690100718002428
01010220102,30557690100516002512
01010220201,30557690101729002042
01010220202,30557690101426005059
01010220301,30557690100415001925
01010220302,30557690100921002844
01010220401,30557690101224002354
01010220402,30557690100516002723
01010220501,30557690101831001854
01010220502,30557690101932002628
01010220601,30557690101123001932
01010220602,30557690100617000875
01010220701,30557690100112002264
01010220702,30557690101628002885
01010220801,30557690101426001831
01010220802,30557690101831002166
01010230101,30557690101932001728
01010230102,30557690101831003754
01010230201,30557690101831001833
01010230202,30557690100314001910
01010230301,30557690101325003063
01010230302,30557690101831003190
