posicion,etiqueta
01010010101,30557690101831001395
01010010102,30557690101831001379
01010010201,30557690101224001317
01010010202,30557690101224001290
01010010301,30557690101426001281
01010010302,30557690101426001237
01010010401,30557690100112001365
01010010402,30557690100112001028
01010010501,30557690101224001222
01010010502,30557690101224001203
01010010601,30557690101527001268
01010010602,30557690101527001053
01010010701,30557690100516001319
01010010702,30557690100516001248
01010010801,30557690101729001499
01010010802,30557690101729001303
01010020101,30557690101831001527
01010020102,30557690101831001441
01010020201,30557690101932001525
01010020202,30557690101932001387
01010020301,30557690100011001411
01010020302,30557690100011001315
01010020401,30557690101932001316
01010020402,30557690101932001254
01010020501,30557690101628001245
01010020502,30557690101628001206
01010020601,30557690101628001333
01010020602,30557690101628001257
01010020701,30557690100415001455
01010020702,30557690100415001324
01010020801,30557690101022001510
01010020802,30557690101022001389
01010030101,30557690101527003530
01010030102,30557690101527001625
01010030201,30557690100213001576
01010030202,30557690100213001488
01010030301,30557690100617001512
01010030302,30557690100617001394
01010030401,30557690100718001443
01010030402,30557690100718001342
01010030501,30557690100314001447
01010030502,30557690100314001289
01010030601,30557690100516001452
01010030602,30557690100516001346
01010030701,30557690101224001585
01010030702,30557690101224001405
01010030801,30557690100819001627
01010030802,30557690100819001554
01010040101,30557690101831003237
01010040102,30557690101325001716
01010040201,30557690100516004278
01010040202,30557690101123001061
01010040301,30557690100415003418
01010040302,30557690100718001581
01010040401,30557690101426001580
01010040402,30557690101426001413
01010040501,30557690101527001460
01010040502,30557690101527001356
01010040601,30557690101628001620
01010040602,30557690101628001426
01010040701,30557690101831005168
01010040702,30557690100011001584
01010040801,30557690101831001694
01010040802,30557690101831001636
01010050101,30557690100921004865
01010050102,30557690100921006067
01010050201,30557690100718002435
01010050202,30557690100718003116
01010050301,30557690101022002373
01010050302,30557690101932001646
01010050401,30557690100819001886
01010050402,30557690100516001595
01010050501,30557690100112001483
01010050502,30557690100112001430
01010050601,30557690101022001662
01010050602,30557690101022001597
01010050701,30557690100718002176
01010050702,30557690100617001673
01010050801,30557690101729002696
01010050802,30557690100718001130
01010060101,30557690101123004973
01010060102,30557690100112005256
01010060201,30557690101426003121
01010060202,30557690101022003969
01010060301,30557690101022001985
01010060302,30557690100921002083
01010060401,30557690100718002000
01010060402,30557690100112001676
01010060501,30557690101224005516
01010060502,30557690100415001609
01010060601,30557690100718002185
01010060602,30557690101729001680
01010060701,30557690100213003740
01010060702,30557690101426004134
01010060801,30557690100617002800
01010060802,30557690101426003004
01010070101,30557690100213001805
01010070102,30557690101831002700
01010070201,30557690101831004046
01010070202,30557690101932004587
01010070301,30557690101123004680
01010070302,30557690101224005203
01010070401,30557690100213003672
01010070402,30557690101831004396
01010070501,30557690101123001910
01010070502,30557690100314001685
01010070601,30557690101831001821
01010070602,30557690100112002699
01010070701,30557690100819001741
01010070702,30557690101628002002
01010070801,30557690101426002509
01010070802,30557690100112002756
01010080101,30557690100112002529
01010080102,30557690101426003773
01010080201,30557690100516003780
01010080202,30557690101527004405
01010080301,30557690100011002153
01010080302,30557690100011002294
01010080401,30557690100112005992
01010080402,
01010080501,30557690100718003073
01010080502,30557690100617003094
01010080601,30557690100112001718
01010080602,30557690101123001861
01010080701,30557690101932002368
01010080702,30557690100415002677
01010080801,30557690100718003040
01010080802,30557690101729004452
01010090101,30557690100516003684
01010090102,30557690101527004448
01010090201,30557690101932004425
01010090202,30557690101628004891
01010090301,30557690101628002302
01010090302,30557690100213003054
01010090401,30557690100213002437
01010090402,30557690100617000995
01010090501,30557690100314002813
01010090502,30557690101123002860
01010090601,30557690101123002903
01010090602,30557690101123005287
01010090701,30557690100516003893
01010090702,30557690100718005318
01010090801,30557690101022003002
01010090802,30557690101426004802
01010100101,30557690101325003942
01010100102,30557690101426000904
01010100201,30557690101527004776
01010100202,30557690100112004862
01010100301,30557690100112004524
01010100302,30557690101123005802
01010100401,30557690100921002500
01010100402,30557690101932003423
01010100501,30557690101022002287
01010100502,30557690101628004171
01010100601,30557690101932002232
01010100602,30557690101325002376
01010100701,30557690101022002411
01010100702,30557690100213000900
01010100801,30557690100011002396
01010100802,
01010110101,30557690100314003755
01010110102,30557690100213003930
01010110201,30557690101224002606
01010110202,30557690101729003270
01010110301,30557690100617002401
01010110302,30557690100415002570
01010110401,30557690100921002037
01010110402,30557690101022004639
01010110501,30557690100718003036
01010110502,30557690101932003216
01010110601,30557690101224001795
01010110602,30557690100213002327
01010110701,30557690100112002832
01010110702,30557690101022004446
01010110801,30557690101325002964
01010110802,30557690100617004250
01010120101,30557690101123002442
01010120102,30557690101527005786
01010120201,30557690101224003613
01010120202,30557690101527004386
01010120301,30557690101628001938
01010120302,30557690101426003580
01010120401,30557690100415002854
01010120402,30557690101325003127
01010120501,30557690100718001968
01010120502,30557690101628003718
01010120601,30557690101022002507
01010120602,30557690101932003849
01010120701,30557690101022002455
01010120702,30557690100314005851
01010120801,30557690101527002626
01010120802,30557690101325003665
01010130101,30557690100921002151
01010130102,30557690100112003389
01010130201,30557690101932001948
01010130202,30557690101123000969
01010130301,30557690100415002029
01010130302,30557690101628003034
01010130401,30557690100415003690
01010130402,30557690101932004119
01010130501,30557690100921002012
01010130502,30557690101022002110
01010130601,30557690101224002910
01010130602,30557690101224004059
01010130701,30557690100819001746
01010130702,30557690101426002231
01010130801,30557690101527003339
01010130802,30557690101022005362
01010140101,30557690100516002386
01010140102,30557690101831004111
01010140201,30557690101022003987
01010140202,30557690101729005323
01010140301,30557690101123003180
01010140302,30557690101426004002
01010140401,30557690100819002145
01010140402,30557690100415002660
01010140501,30557690100516002087
01010140502,30557690101628002845
01010140601,30557690100011002203
01010140602,30557690101022002838
01010140701,30557690101527002021
01010140702,30557690100819003362
01010140801,30557690101527002582
01010140802,30557690100314003006
01010150101,30557690100718002892
01010150102,30557690100617005902
01010150201,30557690101325002758
01010150202,30557690101022001051
01010150301,30557690101325002484
01010150302,30557690101123002784
01010150401,30557690101932003653
01010150402,30557690100415001055
01010150501,30557690101527001903
01010150502,30557690101224003769
01010150601,30557690100921002127
01010150602,30557690101932003795
01010150701,30557690101527004819
01010150702,30557690100617005015
01010150801,30557690100415004466
01010150802,30557690101831005296
01010160101,30557690101325003247
01010160102,30557690101628004962
01010160201,30557690100011002285
01010160202,30557690101426001034
01010160301,30557690100819002561
01010160302,30557690100314002829
01010160401,30557690100213004690
01010160402,30557690101022005011
01010160501,30557690100921002264
01010160502,30557690100819002275
01010160601,30557690100718001812
01010160602,30557690100718002304
01010160701,30557690101831003328
01010160702,30557690100921004455
01010160801,30557690101224002147
01010160802,30557690101932000952
01010170101,30557690101022002765
01010170102,30557690101932004840
01010170201,30557690101932001769
01010170202,30557690100112002812
01010170301,30557690100112003001
01010170302,30557690100718003413
01010170401,30557690101123003072
01010170402,30557690100415003209
01010170501,30557690101527001991
01010170502,30557690101932002599
01010170601,30557690101426003283
01010170602,30557690101628003535
01010170701,30557690101426005751
01010170702,30557690101325006141
01010170801,30557690101022002030
01010170802,30557690101325000868
01010180101,30557690100011003124
01010180102,30557690101527004069
01010180201,30557690101224002204
01010180202,30557690100213002922
01010180301,30557690100415002654
01010180302,30557690101932002674
01010180401,30557690101022001722
01010180402,30557690101123001882
01010180501,30557690101527005443
01010180502,30557690101123005806
01010180601,30557690101932004070
01010180602,30557690100011005368
01010180701,30557690101628002805
01010180702,30557690101022003999
01010180801,30557690100011005605
01010180802,30557690101831005706
01010190101,30557690101325002004
01010190102,30557690101123000908
01010190201,30557690101932002056
01010190202,30557690101325004513
01010190301,30557690101325002741
01010190302,30557690101426003003
01010190401,30557690101831001902
01010190402,30557690100819002398
01010190501,30557690100718002135
01010190502,30557690100718002596
01010190601,30557690100112001743
01010190602,30557690101729001872
01010190701,30557690101123002880
01010190702,30557690101426002902
01010190801,30557690100415001798
01010190802,30557690100314004182
01010200101,30557690101932003005
01010200102,30557690100819001060
01010200201,30557690101123001979
01010200202,30557690100718002089
01010200301,30557690101628004767
01010200302,30557690101426004841
01010200401,30557690100011003703
01010200402,30557690100921005883
01010200501,30557690101932004664
01010200502,30557690101831004935
01010200601,30557690100112002141
01010200602,30557690101022000945
01010200701,30557690101325001837
01010200702,
01010200801,30557690100314001942
01010200802,30557690100213003313
01010210101,30557690100314002421
01010210102,30557690100921001144
01010210201,30557690100819002684
01010210202,30557690100617000917
01010210301,30557690101022003422
01010210302,30557690101022003465
01010210401,30557690100617002875
01010210402,30557690100112003460
01010210501,30557690101831004116
01010210502,30557690101022005321
01010210601,30557690100617002299
01010210602,30557690101224002503
01010210701,30557690100011001839
01010210702,30557690101527002038
01010210801,30557690100718002136
01010210802,30557690100213004669
01010220101,30557690100516002938
01010220102,30557690101325003319
01010220201,30557690101426001721
01010220202,30557690100718001726
01010220301,30557690101831003939
01010220302,30557690100617005020
01010220401,30557690101022002653
01010220402,30557690101022003257
01010220501,30557690101628002404
01010220502,30557690101932003084
01010220601,30557690101224002508
01010220602,30557690100617000875
01010220701,30557690100011002616
01010220702,30557690101022003882
01010220801,30557690101729001823
01010220802,30557690100213001853
01010230101,30557690101022001946
01010230102,30557690100921002009
01010230201,30557690101022001852
01010230202,30557690101224001967
