posicion,etiqueta
01010010101,30557690101831001395
01010010102,30557690101831001379
01010010201,30557690101224001317
01010010202,30557690101224001290
01010010301,30557690101426001281
01010010302,30557690101426001237
01010010401,30557690100112001365
01010010402,30557690100112001028
01010010501,30557690101224001222
01010010502,30557690101224001203
01010010601,30557690101527001268
01010010602,30557690101527001053
01010010701,30557690100516001319
01010010702,30557690100516001248
01010010801,30557690101729001499
01010010802,30557690101729001303
01010020101,30557690101831001527
01010020102,30557690101831001441
01010020201,30557690101932001525
01010020202,30557690101932001387
01010020301,30557690100011001411
01010020302,30557690100011001315
01010020401,30557690101932001316
01010020402,30557690101932001254
01010020501,30557690101628001245
01010020502,30557690101628001206
01010020601,30557690101628001333
01010020602,30557690101628001257
01010020701,30557690100415001455
01010020702,30557690100415001324
01010020801,30557690101022001510
01010020802,30557690101022001389
01010030101,30557690101123002477
01010030102,30557690101527001625
01010030201,30557690100213001576
01010030202,30557690100213001488
01010030301,30557690100617001512
01010030302,30557690100617001394
01010030401,30557690100718001443
01010030402,30557690100718001342
01010030501,30557690100314001447
01010030502,30557690100314001289
01010030601,30557690100516001452
01010030602,30557690100516001346
01010030701,30557690101224001585
01010030702,30557690101224001405
01010030801,30557690100819001627
01010030802,30557690100819001554
01010040101,30557690100112001725
01010040102,30557690101325001716
01010040201,30557690101224002398
01010040202,30557690101123001061
01010040301,30557690100314002773
01010040302,30557690100718001581
01010040401,30557690101426001580
01010040402,30557690101426001413
01010040501,30557690101527001460
01010040502,30557690101527001356
01010040601,30557690101628001620
01010040602,30557690101628001426
01010040701,30557690101224001769
01010040702,30557690100011001584
01010040801,30557690101831001694
01010040802,30557690101831001636
01010050101,30557690100213004106
01010050102,30557690101831005714
01010050201,30557690100314002598
01010050202,30557690100617002616
01010050301,30557690101022004050
01010050302,30557690101932001646
01010050401,30557690100415001997
01010050402,30557690100516001595
01010050501,30557690100112001483
01010050502,30557690100112001430
01010050601,30557690101022001662
01010050602,30557690101022001597
01010050701,30557690100516001971
01010050702,30557690100617001673
01010050801,30557690100213002528
01010050802,30557690100718001130
01010060101,30557690101527001938
01010060102,30557690100314005436
01010060201,30557690101123002730
01010060202,30557690101729005135
01010060301,30557690100718003340
01010060302,30557690100112004721
01010060401,30557690100011002915
01010060402,30557690100112001676
01010060501,30557690101831003125
01010060502,30557690100415001609
01010060601,30557690101932002359
01010060602,30557690101729001680
01010060701,30557690100718002163
01010060702,30557690100314002536
01010060801,30557690100415001762
01010060802,30557690100516002429
01010070101,30557690101022001922
01010070102,30557690100718002130
01010070201,30557690101123002288
01010070202,30557690101831002763
01010070301,30557690101527001789
01010070302,30557690100718003434
01010070401,30557690101831003653
01010070402,30557690101831004088
01010070501,30557690101426002386
01010070502,30557690100314001685
01010070601,30557690101426003996
01010070602,30557690101831004282
01010070701,30557690100213002792
01010070702,30557690100617004363
01010070801,30557690101527001801
01010070802,30557690101831002679
01010080101,30557690101932003003
01010080102,30557690100921003390
01010080201,30557690101022002688
01010080202,30557690100921004122
01010080301,30557690100921003336
01010080302,30557690101325003597
01010080401,30557690101123001795
01010080402,30557690101628002079
01010080501,30557690101426004169
01010080502,30557690101729004651
01010080601,30557690100617001923
01010080602,30557690100314003286
01010080701,30557690100617002396
01010080702,30557690101426002478
01010080801,30557690100011002769
01010080802,30557690101729002970
01010090101,30557690101325002954
01010090102,30557690100415003181
01010090201,30557690101831001910
01010090202,30557690101628005796
01010090301,30557690101628002996
01010090302,30557690100112003907
01010090401,30557690100415002295
01010090402,30557690100617000995
01010090501,30557690100213003040
01010090502,30557690100415003284
01010090601,30557690100617001921
01010090602,30557690101022005338
01010090701,30557690100415002723
01010090702,30557690100011003228
01010090801,30557690100718002411
01010090802,30557690101426003448
01010100101,30557690100718001999
01010100102,30557690101426000904
01010100201,30557690101325002505
01010100202,30557690100819003875
01010100301,30557690101123003795
01010100302,30557690101224005911
01010100401,30557690101527002143
01010100402,30557690100213003098
01010100501,30557690100112001954
01010100502,30557690101224005287
01010100601,30557690101831002402
01010100602,30557690100415002709
01010100701,30557690100819005087
01010100702,30557690100213000900
01010100801,30557690101426002268
01010100802,30557690101932005957
01010110101,30557690100617002990
01010110102,30557690101224003578
01010110201,30557690100011003546
01010110202,30557690101729004118
01010110301,30557690100718002821
01010110302,30557690101224003187
01010110401,30557690101022001728
01010110402,30557690101426002952
01010110501,30557690100617003630
01010110502,30557690101831004330
01010110601,30557690101932002711
01010110602,30557690101426004239
01010110701,30557690101527002188
01010110702,30557690100718004188
01010110801,30557690100314002384
01010110802,30557690100921004449
01010120101,30557690100516005118
01010120102,30557690100112005122
01010120201,30557690100314002453
01010120202,30557690101022002912
01010120301,30557690101224001887
01010120302,30557690100718001972
01010120401,30557690101932002973
01010120402,30557690100617004595
01010120501,30557690100415003071
01010120502,30557690100011003418
01010120601,30557690100112002447
01010120602,30557690101022003451
01010120701,30557690100718002674
01010120702,30557690101831004999
01010120801,30557690101325003235
01010120802,30557690101932006940
01010130101,30557690101123003786
01010130102,30557690101932004510
01010130201,30557690101729001778
01010130202,30557690101123000969
01010130301,30557690100415004156
01010130302,30557690101123005176
01010130401,30557690101426002127
01010130402,30557690100213004683
01010130501,30557690101022002392
01010130502,30557690100011002775
01010130601,30557690100011003128
01010130602,30557690101022003170
01010130701,30557690100213001978
01010130702,30557690101527004997
01010130801,30557690100617004724
01010130802,30557690100516005070
01010140101,30557690101729003944
01010140102,30557690100314004860
01010140201,30557690100112002469
01010140202,30557690101628003033
01010140301,30557690101426002721
01010140302,30557690101224003604
01010140401,30557690100112003129
01010140402,30557690101022003253
01010140501,30557690101224003387
01010140502,30557690101224004365
01010140601,30557690100718003355
01010140602,30557690101527005839
01010140701,30557690100011003020
01010140702,30557690101325003041
01010140801,30557690101022003422
01010140802,30557690100718004257
01010150101,30557690100213003639
01010150102,30557690101022003966
01010150201,30557690100921004255
01010150202,30557690101022001051
01010150301,30557690100314003267
01010150302,30557690100921003309
01010150401,30557690101628003063
01010150402,30557690100415001055
01010150501,30557690101729002065
01010150502,30557690101426002981
01010150601,30557690101831002844
01010150602,30557690101224004662
01010150701,30557690100011002874
01010150702,30557690100112002889
01010150801,30557690101628002189
01010150802,30557690101628002293
01010160101,30557690100213002583
01010160102,30557690101831002752
01010160201,30557690100314002230
01010160202,30557690101426001034
01010160301,30557690101932002207
01010160302,30557690101831004353
01010160401,30557690100213002575
01010160402,30557690101224004183
01010160501,30557690101527002412
01010160502,30557690100213002555
01010160601,30557690101527001834
01010160602,30557690101932003100
01010160701,30557690101527004817
01010160702,30557690100921005274
01010160801,30557690101123006558
01010160802,30557690101932000952
01010170101,30557690101123002906
01010170102,30557690101224003378
01010170201,30557690101022002557
01010170202,30557690101628002614
01010170301,30557690101628002482
01010170302,30557690101022003443
01010170401,30557690101932002546
01010170402,30557690100819004076
01010170501,30557690101932001898
01010170502,30557690101628001914
01010170601,30557690101831002340
01010170602,30557690100011003018
01010170701,30557690101426003093
01010170702,30557690101527004109
01010170801,30557690100516004299
01010170802,30557690101325000868
01010180101,30557690100617003324
01010180102,30557690101022003928
01010180201,30557690101729002073
01010180202,30557690100617002153
01010180301,30557690101831003873
01010180302,30557690100112004271
01010180401,30557690100617003778
01010180402,30557690100314003847
01010180501,30557690101022005420
01010180502,30557690101527005479
01010180601,30557690101527003535
01010180602,30557690100213004012
01010180701,30557690101426002980
01010180702,30557690100516004577
01010180801,30557690101932002000
01010180802,30557690101426002047
01010190101,30557690101527002085
01010190102,30557690101123000908
01010190201,30557690100516002403
01010190202,30557690101527004899
01010190301,30557690100516001915
01010190302,30557690101426003747
01010190401,30557690101426002790
01010190402,30557690101022003045
01010190501,30557690101224001824
01010190502,30557690100314002311
01010190601,30557690100617004044
01010190602,30557690100516004248
01010190701,30557690101932002599
01010190702,30557690101022003109
01010190801,30557690100415004008
01010190802,30557690100112005271
01010200101,30557690100314002213
01010200102,30557690100819001060
01010200201,30557690101932002150
01010200202,30557690100213004209
01010200301,30557690101527001877
01010200302,30557690101224001975
01010200401,30557690101729004070
01010200402,30557690100112005738
01010200501,30557690101932001866
01010200502,30557690101527003106
01010200601,30557690101831004272
01010200602,30557690101022000945
01010200701,30557690101224002945
01010200702,30557690101628004017
01010200801,30557690101426002461
01010200802,30557690100516004520
01010210101,30557690101729003769
01010210102,30557690100921001144
01010210201,30557690100516001815
01010210202,30557690100617000917
01010210301,30557690100819001806
01010210302,30557690100011004517
01010210401,30557690100819002072
01010210402,30557690101729002327
01010210501,30557690100921002255
01010210502,30557690100213002760
01010210601,30557690100112002078
01010210602,30557690101224003577
01010210701,30557690100213002621
01010210702,30557690101628004511
01010210801,30557690101022002068
01010210802,30557690100819003352
01010220101,30557690100314002031
01010220102,30557690101831003116
01010220201,30557690100112003864
01010220202,30557690101123003909
01010220301,30557690100213002613
01010220302,30557690101932004525
01010220401,30557690100617002322
01010220402,30557690100819004023
01010220501,30557690101831004598
01010220502,30557690100314005389
01010220601,30557690100213002321
01010220602,30557690100617000875
01010220701,30557690100415002431
01010220702,30557690100213003681
01010220801,30557690100921003037
01010220802,30557690101628003629
01010230101,30557690100112004429
01010230102,30557690100516004636
01010230201,30557690100819003589
